секция,типы преступлений,индикатор,общий индикатор,название объекта,object_level,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Кабардино-Балкарская Республика,регион,3406.0,3821.0,3999.0,4063.0,4121.0,3865.0,3831.0,3921.0,3943.0,4026.0,4442.0,4354.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Калининградская область,регион,6443.0,6188.0,6441.0,6764.0,6903.0,6051.0,5555.0,5725.0,5855.0,5624.0,5280.0,4757.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Калужская область,регион,5777.0,6058.0,6275.0,7101.0,7400.0,6363.0,6436.0,6172.0,5577.0,5447.0,5290.0,4581.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Камчатский край,регион,3152.0,3319.0,3363.0,3368.0,3345.0,3353.0,3202.0,3345.0,3110.0,3171.0,3082.0,2854.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Карачаево-Черкесская Республика,регион,2174.0,2395.0,2207.0,2260.0,2346.0,2294.0,2232.0,2497.0,2406.0,2423.0,2475.0,2508.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Кемеровская область,регион,30937.0,31298.0,30647.0,31540.0,31539.0,30288.0,28798.0,27372.0,24637.0,23250.0,22235.0,20618.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Кировская область,регион,10154.0,9158.0,10818.0,11181.0,11821.0,11466.0,10934.0,9986.0,9756.0,8481.0,8411.0,7992.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Костромская область,регион,5392.0,4847.0,4778.0,4721.0,4954.0,4817.0,4612.0,4454.0,4097.0,3967.0,3729.0,3459.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Краснодарский край,регион,32488.0,32302.0,33081.0,32285.0,34078.0,32762.0,31546.0,29343.0,28361.0,28129.0,28722.0,28825.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Красноярский край,регион,30685.0,29319.0,28808.0,29001.0,28880.0,28185.0,26316.0,23509.0,22111.0,20784.0,22402.0,21508.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Крымский федеральный округ,федеральный округ,0.0,0.0,0.0,5791.0,12105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Курганская область,регион,9383.0,8871.0,8768.0,8443.0,9448.0,9295.0,8463.0,7829.0,7919.0,7318.0,6847.0,6604.0
